Power plant generation in megawatts (each row represents: hour, [power plant decision])
,1           ,2           ,3           ,4           ,5
1           ,     4000.00,     3705.00,       50.00,        0.00,        0.00,
2           ,     4000.00,     3103.00,       50.00,        0.00,        0.00,
3           ,     4000.00,     2788.00,       50.00,        0.00,        0.00,
4           ,     4000.00,     3086.00,       50.00,        0.00,        0.00,
5           ,     4000.00,     3364.00,       50.00,        0.00,        0.00,
6           ,     4000.00,     3456.00,       50.00,        0.00,        0.00,
7           ,     4000.00,     3825.00,       50.00,        0.00,        0.00,
8           ,     4000.00,     4000.00,      129.00,        0.00,        0.00,
9           ,     4000.00,     4000.00,      972.00,        0.00,        0.00,
10          ,     4000.00,     4000.00,     1465.00,        0.00,        0.00,
11          ,     4000.00,     4000.00,     2258.00,        0.00,        0.00,
12          ,     4000.00,     4000.00,     2516.00,        0.00,        0.00,
13          ,     4000.00,     4000.00,     2595.00,        0.00,        0.00,
14          ,     4000.00,     4000.00,     2507.00,        0.00,        0.00,
15          ,     4000.00,     4000.00,     2354.00,        0.00,        0.00,
16          ,     4000.00,     4000.00,     2486.00,        0.00,        0.00,
17          ,     4000.00,     4000.00,     3493.00,        0.00,        0.00,
18          ,     4000.00,     4000.00,     4000.00,      483.00,        0.00,
19          ,     4000.00,     4000.00,     4000.00,       70.00,        0.00,
20          ,     4000.00,     4000.00,     3500.00,        0.00,        0.00,
21          ,     4000.00,     4000.00,     2948.00,        0.00,        0.00,
22          ,     4000.00,     4000.00,     2244.00,        0.00,        0.00,
23          ,     4000.00,     4000.00,     1286.00,        0.00,        0.00,
24          ,     4000.00,     4000.00,      148.00,        0.00,        0.00,
