E[marginal electricity price]
hour, dollars per MWh
1           ,       30.10
2           ,       30.10
3           ,       30.10
4           ,       30.10
5           ,       30.10
6           ,       30.10
7           ,       30.10
8           ,       30.53
9           ,       30.53
10          ,       30.53
11          ,       30.53
12          ,       30.53
13          ,       30.53
14          ,       30.53
15          ,       30.53
16          ,       30.53
17          ,       30.53
18          ,      221.00
19          ,      221.00
20          ,       30.53
21          ,       30.53
22          ,       30.53
23          ,       30.53
24          ,       30.53
